,Rank,OPR,DPR,CCWM,teleopOPR,autoOPR,endgameOPR,scheduleStrength,,
4188,2,54.96,15.92,39.04,32.87,19.06,22.74,-1.02,,
4698,4,54.94,12.70,42.24,29.36,15.59,16.28,-1.22,,
2393,27,54.90,46.25,8.65,29.31,19.66,14.79,0.49,,
7028,13,54.87,39.52,15.35,37.38,15.72,14.28,0.89,,
5697,3,54.71,12.76,41.96,34.98,17.69,29.31,-0.59,,
3990,1,54.59,21.99,32.60,32.45,18.30,18.90,-0.51,,
1197,3,54.38,24.23,30.15,34.63,16.60,21.76,-0.51,,
2170,15,54.32,34.58,19.74,37.36,14.91,21.91,0.63,,
7660,5,54.28,13.09,41.19,34.19,21.02,23.34,-1.68,,
343,25,54.25,48.01,6.24,39.77,8.89,22.90,1.86,,
449,9,54.05,25.22,28.83,24.63,18.35,19.62,-1.08,,
4967,3,53.96,23.83,30.13,33.48,9.81,29.34,0.37,,
5199,6,53.92,39.04,14.87,40.19,7.06,31.61,-0.92,,
2992,6,53.84,15.92,37.92,42.45,13.12,31.79,-1.84,,
8122,18,53.82,37.10,16.72,36.72,6.78,28.29,2.17,,
2502,6,53.82,24.83,28.99,32.84,12.36,17.83,-2.01,,
4039,12,53.64,31.99,21.65,36.82,13.51,16.32,0.61,,
1421,8,53.62,26.85,26.77,27.05,18.30,22.69,-0.71,,
6064,6,53.57,47.47,6.10,37.37,14.81,32.91,0.06,,
5436,3,53.53,22.85,30.68,42.77,11.59,35.66,-1.44,,
5015,9,53.51,44.94,8.57,34.30,13.73,21.28,-0.34,,
8079,2,53.50,34.72,18.79,31.71,16.73,20.56,0.62,,
4488,6,53.47,24.51,28.96,36.91,13.51,14.86,-0.23,,
6087,3,53.47,20.86,32.60,38.56,8.20,28.83,-0.79,,
3679,3,53.46,6.06,47.40,27.57,20.73,13.35,-1.40,,
4627,2,53.41,18.33,35.08,35.92,15.37,26.69,0.41,,
4391,10,53.26,25.97,27.29,31.86,14.72,18.14,0.00,,
2611,7,53.23,23.39,29.84,30.26,7.06,21.42,-1.93,,
5804,4,53.20,15.78,37.42,42.06,9.07,23.83,-0.44,,
4075,5,53.18,46.17,7.01,33.20,18.40,30.36,0.41,,
2847,52,53.16,75.07,-21.90,33.20,11.80,12.07,2.00,,
6025,7,53.06,18.92,34.14,26.71,11.21,12.14,-0.79,,
6502,4,53.05,23.96,29.09,27.00,16.60,12.64,-0.10,,
7039,6,53.02,39.43,13.58,28.54,14.16,13.38,0.42,,
1987,4,53.01,22.82,30.19,32.73,17.70,17.64,-1.45,,
5892,7,53.01,31.07,21.93,34.07,12.74,13.23,0.04,,
4905,1,53.00,22.65,30.35,38.49,10.05,31.70,-0.56,,
5801,2,52.84,28.46,24.38,37.02,12.91,17.64,-0.10,,
6226,6,52.84,32.48,20.36,35.78,10.59,19.68,0.42,,
6022,2,52.71,11.80,40.91,37.54,7.13,28.25,-1.06,,
1895,7,52.61,33.19,19.42,39.45,11.96,28.36,0.65,,
2584,12,52.57,33.49,19.08,36.86,13.21,9.56,-1.07,,
6417,2,52.53,-5.58,58.11,27.04,13.15,17.28,-1.92,,
5553,6,52.53,20.32,32.21,29.92,13.68,19.20,1.46,,
830,22,52.45,55.09,-2.64,32.41,10.67,15.40,1.57,,
1024,9,52.26,42.60,9.66,38.70,15.46,23.02,-0.91,,
2834,9,52.23,20.29,31.94,29.71,3.01,27.21,0.49,,
5530,10,52.21,20.59,31.62,37.40,16.27,23.57,0.92,,
8151,20,52.18,43.50,8.68,10.24,10.04,8.51,1.15,,
2158,2,52.17,13.17,39.00,34.27,13.51,29.00,-1.41,,
7830,9,52.16,16.12,36.05,25.59,15.46,17.75,-1.26,,
4952,16,52.15,42.74,9.41,33.35,12.47,12.37,1.41,,
6014,17,52.03,17.37,34.67,10.85,9.48,8.39,0.56,,
7067,3,52.02,24.59,27.44,37.57,14.98,26.51,0.49,,
7407,8,52.01,25.56,26.44,31.72,16.98,-1.66,-1.08,,
128,8,51.93,44.19,7.75,35.06,7.43,25.56,0.15,,
4946,4,51.83,12.83,39.00,40.58,8.74,19.66,-0.59,,
340,2,51.69,10.04,41.65,38.34,13.85,12.02,-1.30,,
2607,3,51.65,18.47,33.18,32.57,16.07,14.76,-0.67,,
1559,24,51.49,46.75,4.74,39.44,14.82,17.64,-0.24,,
3539,2,51.41,21.69,29.72,34.97,15.32,25.08,0.34,,
8085,3,51.33,28.57,22.76,38.11,11.19,31.28,0.92,,
3206,11,51.29,28.96,22.34,39.56,14.47,22.09,0.27,,
1507,12,51.26,31.50,19.76,34.39,21.65,15.70,-0.04,,
6381,21,51.23,37.86,13.38,27.13,13.95,19.17,1.19,,
69,10,51.22,23.97,27.26,38.74,7.40,29.26,1.55,,
5155,7,51.22,32.04,19.18,35.12,10.92,30.67,0.77,,
78,3,51.22,20.39,30.83,40.16,13.72,30.54,1.10,,
2122,20,51.20,48.79,2.42,27.00,22.13,2.09,2.03,,
687,14,51.08,16.75,34.32,14.13,17.46,4.31,0.17,,
525,7,51.03,29.05,21.99,38.33,12.54,25.90,0.66,,
8084,5,50.99,29.02,21.97,29.63,16.38,19.57,-0.48,,
2370,5,50.98,27.26,23.72,30.64,19.88,21.40,0.51,,
1511,28,50.92,58.25,-7.34,34.20,11.77,14.96,1.07,,
4564,12,50.91,34.25,16.66,28.61,18.75,13.21,1.47,,
1718,6,50.90,18.97,31.93,39.58,14.21,16.89,0.37,,
5160,1,50.79,6.83,43.95,35.45,6.60,25.50,-1.22,,
2106,1,50.76,16.24,34.52,24.04,15.14,13.37,-1.06,,
3061,14,50.73,4.07,46.66,26.39,11.12,21.13,0.40,,
5084,3,50.70,30.30,20.40,43.62,9.16,28.46,1.21,,
7190,7,50.59,43.16,7.43,39.63,9.93,30.79,-0.84,,
5927,12,50.57,19.57,31.00,40.50,9.06,18.04,-1.11,,
977,5,50.51,33.54,16.97,21.22,18.61,15.61,-0.18,,
3653,7,50.45,31.60,18.84,34.05,12.51,27.33,-0.58,,
6672,2,50.39,15.78,34.60,34.83,14.51,22.23,-0.24,,
5554,4,50.38,27.05,23.33,24.48,17.72,17.39,0.11,,
1501,6,50.35,27.64,22.71,21.55,18.69,8.26,-0.95,,
103,9,50.32,26.05,24.27,30.53,18.03,19.49,-0.06,,
4776,14,50.21,37.26,12.96,36.61,11.78,29.53,2.15,,
5511,2,50.17,11.33,38.84,24.43,17.83,13.09,-1.38,,
4635,2,50.15,6.43,43.72,26.01,15.42,9.51,-0.12,,
2509,10,50.08,25.70,24.38,33.40,10.54,26.51,-0.59,,
7558,8,50.07,46.40,3.67,38.75,12.97,21.23,1.03,,
6004,5,49.98,17.89,32.10,20.02,13.25,17.03,0.36,,
501,6,49.98,26.05,23.93,33.24,18.17,18.35,-0.13,,
2609,3,49.97,8.70,41.27,41.07,10.98,29.28,-1.15,,
1885,2,49.93,7.96,41.97,24.96,17.34,17.96,0.04,,
3566,11,49.83,45.95,3.88,27.33,17.50,14.12,0.12,,
6025,4,49.77,13.74,36.03,25.26,6.73,14.79,0.83,,
4610,6,49.69,21.51,28.19,35.65,9.99,22.40,0.55,,
6618,7,49.68,21.27,28.41,28.02,17.71,18.87,-1.01,,
3310,9,49.62,27.63,21.99,31.92,16.94,20.25,0.66,,
3707,6,49.59,24.34,25.25,31.17,15.45,16.07,-1.27,,
5712,8,49.54,37.68,11.86,29.70,15.24,24.62,0.20,,
117,6,49.54,36.87,12.66,21.51,13.25,20.26,-1.64,,
7201,22,49.50,40.59,8.91,13.21,2.78,5.59,1.05,,
5660,11,49.49,36.99,12.50,29.97,8.34,21.06,0.78,,
